Year,State,Electric,PHEV,HEV,Biodiesel,Flex,CNG,Propane,Hydrogen,Methanol,Gas,Diesel,Unknown
2018,Texas,"24,500","14,700","227,700",0,"3,005,900","51,300",0,0,0,"18,453,800","1,019,300","175,300"
2018,Utah,"5,600","3,400","40,900",0,"214,100","9,700",0,0,0,"2,221,100","173,700","36,600"
2018,Vermont,"1,100","2,000","12,600",0,"57,500",600,0,0,0,"513,600","19,100","7,700"
2018,Virginia,"9,900","8,100","141,300",0,"569,100","15,100",0,0,0,"6,721,800","173,400","55,800"
2018,Washington,"30,200","13,700","177,800",0,"387,400","21,400",0,0,0,"5,608,000","295,400","110,600"
2018,West Virginia,200,500,"10,100",0,"172,900","3,500",0,0,0,"1,256,800","54,700","16,500"
2018,Wisconsin,"3,700","4,500","70,900",0,"696,300","11,400",0,0,0,"4,515,800","162,500","47,100"
2018,Wyoming,200,200,"4,100",0,"71,500","4,200",0,0,0,"450,100","72,900","20,400"
2018,United States,"572,600","461,300","4,242,400",0,"26,288,400","609,200",0,"9,400",300,"229,074,100","8,279,800","2,668,600"
2019,Alabama,"2,000","1,800","33,700",0,"543,900","15,900",0,0,0,"3,806,700","144,900","44,300"
2019,Alaska,700,400,"5,800",0,"64,000","3,200",0,0,0,"473,700","40,100","14,600"
2019,Arizona,"19,500","9,600","108,100",0,"571,500","14,300",0,0,0,"5,186,900","208,800","99,000"
2019,Arkansas,900,"1,000","21,100",0,"383,000","8,000",0,0,0,"2,059,000","105,200","16,700"
2019,California,"349,700","247,300","1,154,200",0,"1,698,700","76,200",0,"12,700",300,"29,210,100","785,800","136,900"
2019,Colorado,"19,200","9,300","92,400",0,"447,700","12,600",0,0,0,"4,347,900","246,700","73,600"
2019,Connecticut,"6,900","5,700","47,400",0,"196,800","2,300",0,0,0,"2,632,800","53,100","27,700"
2019,Delaware,"1,300","1,300","13,200",0,"85,500","1,000",0,0,0,"768,600","17,200","6,800"
2019,District of Columbia,"1,800","1,300","13,700",0,"22,500",200,0,0,0,"286,300","2,400","1,100"
2019,Florida,"40,300","20,400","235,300",0,"1,486,600","14,200",0,0,0,"14,726,700","408,500","139,200"
2019,Georgia,"19,000","8,400","101,800",0,"890,400","22,000",0,0,0,"7,552,700","237,500","101,800"
2019,Hawaii,"8,800","2,900","25,800",0,"55,600","1,000",0,0,0,"970,900","17,900","6,800"
2019,Idaho,"1,600","1,500","21,900",0,"148,600","10,500",0,0,0,"1,453,500","147,200","25,500"
2019,Illinois,"19,300","11,600","177,300",0,"1,153,600","13,400",0,0,0,"8,665,900","209,000","98,000"
2019,Indiana,"5,100","4,700","68,900",0,"745,100","14,500",0,0,0,"4,887,900","175,900","70,700"
2019,Iowa,"1,600","2,400","33,100",0,"448,900","10,200",0,0,0,"2,397,900","120,300","71,000"
2019,Kansas,"2,300","2,100","31,700",0,"313,500","11,300",0,0,0,"2,094,100","98,800","29,500"
2019,Kentucky,"1,900","1,800","38,000",0,"442,000","12,000",0,0,0,"3,309,900","129,100","38,900"
2019,Louisiana,"1,400","1,000","19,800",0,"554,400","8,500",0,0,0,"3,030,400","162,300","30,800"
2019,Maine,"1,300","2,200","20,600",0,"141,300","1,300",0,0,0,"1,002,000","32,500","11,200"
2019,Maryland,"13,200","10,000","100,700",0,"400,600","4,400",0,0,0,"4,068,900","107,000","39,400"
2019,Massachusetts,"14,100","12,900","112,400",0,"400,100","2,300",0,0,0,"4,613,000","72,600","36,800"
2019,Michigan,"6,600","12,400","86,500",0,"1,353,800","13,100",0,0,0,"6,786,400","224,900","67,800"
2019,Minnesota,"7,700","5,800","77,400",0,"704,600","10,100",0,0,0,"4,174,400","155,100","43,800"
2019,Mississippi,500,600,"14,400",0,"366,500","5,600",0,0,0,"2,166,800","95,100","14,800"
2019,Missouri,"4,900","5,000","86,200",0,"764,500","15,900",0,0,0,"4,591,200","219,600","55,900"
2019,Montana,700,500,"10,500",0,"129,000","3,900",0,0,0,"717,800","90,900","16,800"
2019,Nebraska,"1,300","1,100","18,200",0,"256,900","7,700",0,0,0,"1,476,500","87,000","32,400"
2019,Nevada,"7,900","3,600","40,100",0,"181,300","5,700",0,0,0,"2,037,600","95,500","32,000"
2019,New Hampshire,"1,900","2,200","21,900",0,"133,100","1,300",0,0,0,"1,156,800","35,000","15,700"
2019,New Jersey,"20,200","11,700","99,900",0,"561,100","3,300",0,0,0,"6,384,100","110,900","51,400"
2019,New Mexico,"1,900","1,600","26,800",0,"194,100","6,400",0,0,0,"1,490,400","104,300","31,600"
2019,New York,"23,000","28,000","182,800",0,"1,027,800","7,000",0,0,0,"9,935,300","186,100","107,200"
2019,North Carolina,"11,600","8,100","126,600",0,"846,400","20,600",0,0,0,"7,311,100","242,600","96,300"
2019,North Dakota,200,200,"4,000",0,"135,800","4,000",0,0,0,"563,900","56,700","14,000"
2019,Ohio,"10,200","8,600","114,500",0,"1,127,400","15,800",0,0,0,"8,735,800","231,500","92,200"
2019,Oklahoma,"3,400","1,600","28,500",0,"621,500","15,700",0,0,0,"3,228,200","186,900","62,000"
2019,Oregon,"18,800","10,400","102,000",0,"222,400","12,100",0,0,0,"3,125,800","243,500","80,100"
2019,Pennsylvania,"12,000","11,200","126,300",0,"931,800","10,500",0,0,0,"8,676,900","234,000","72,900"
2019,Rhode Island,"1,100","1,300","13,100",0,"57,700",500,0,0,0,"792,000","13,100","7,800"
2019,South Carolina,"3,000","2,600","46,500",0,"493,800","13,000",0,0,0,"3,954,600","119,000","59,600"
2019,South Dakota,300,400,"6,600",0,"137,000","4,500",0,0,0,"683,200","63,200","20,000"
2019,Tennessee,"5,700","3,600","64,300",0,"611,900","17,400",0,0,0,"5,160,900","172,700","53,000"
2019,Texas,"38,400","18,100","244,600",0,"3,200,700","47,300",0,100,0,"19,293,900","1,070,200","178,000"
2019,Utah,"8,000","4,400","45,300",0,"230,100","9,200",0,0,0,"2,291,100","183,300","36,300"
2019,Vermont,"1,700","2,000","13,300",0,"59,100",600,0,0,0,"509,000","19,400","7,400"
2019,Virginia,"15,000","9,800","151,000",0,"603,200","13,600",0,0,0,"6,750,300","178,400","52,200"
2019,Washington,"40,400","16,100","193,400",0,"408,800","19,600",0,0,0,"5,612,100","308,700","100,300"
2019,West Virginia,400,600,"10,900",0,"177,300","3,100",0,0,0,"1,234,300","56,300","15,400"
2019,Wisconsin,"4,700","5,300","76,200",0,"733,700","10,100",0,0,0,"4,519,800","168,800","45,300"
2019,Wyoming,200,200,"4,200",0,"75,100","3,800",0,0,0,"452,800","75,400","19,100"
2019,United States,"783,600","536,600","4,512,900",0,"27,540,700","560,700",0,"12,800",300,"231,358,800","8,550,900","2,601,600"
2020,Alabama,"2,900","2,100","36,300",0,"567,600","15,100",0,0,0,"3,863,500","154,100","41,600"
2020,Alaska,900,400,"6,200",0,"64,000","2,700",0,0,0,"460,900","39,600","11,400"
2020,Arizona,"28,800","11,200","115,400",0,"584,800","13,800",0,0,0,"5,202,200","226,000","103,400"
2020,Arkansas,"1,300","1,100","22,400",0,"392,800","7,200",0,0,0,"2,093,700","111,100","15,700"
2020,California,"425,300","265,500","1,228,700",0,"1,745,100","75,300",0,"14,000",300,"29,642,700","825,900","116,700"
2020,Colorado,"24,700","10,800","96,500",0,"447,000","11,400",0,0,0,"4,263,300","249,700","89,600"
2020,Connecticut,"9,000","6,200","49,600",0,"199,300","2,000",0,0,0,"2,577,600","53,000","26,100"
2020,Delaware,"1,900","1,500","14,800",0,"89,700","1,000",0,0,0,"780,600","17,900","6,600"
2020,District of Columbia,"2,400","1,600","14,300",0,"21,900",200,0,0,0,"274,400","2,300","1,200"
2020,Florida,"58,200","22,400","248,500",0,"1,513,000","13,100",0,0,0,"14,925,500","433,700","127,300"
2020,Georgia,"23,500","9,400","109,000",0,"919,400","21,000",0,0,0,"7,665,100","252,800","97,600"
2020,Hawaii,"10,700","3,200","26,400",0,"52,700",900,0,100,0,"948,300","18,000","6,000"
2020,Idaho,"2,300","1,700","24,900",0,"156,300","9,900",0,0,0,"1,480,700","155,700","26,900"
2020,Illinois,"26,000","13,000","190,600",0,"1,154,700","12,100",0,0,0,"8,533,600","213,600","90,600"
2020,Indiana,"7,000","5,300","75,300",0,"774,400","13,400",0,0,0,"4,916,700","183,700","70,300"
2020,Iowa,"2,300","2,600","36,400",0,"459,900","9,500",0,0,0,"2,402,200","125,300","69,100"
2020,Kansas,"3,100","2,400","34,000",0,"324,700","10,600",0,0,0,"2,086,800","102,900","27,700"
2020,Kentucky,"2,600","2,100","41,300",0,"458,800","10,900",0,0,0,"3,281,300","133,700","36,500"
2020,Louisiana,"2,000","1,200","21,600",0,"556,600","7,700",0,0,0,"3,039,100","164,900","28,000"
2020,Maine,"1,900","2,800","22,400",0,"148,500","1,200",0,0,0,"1,001,700","34,600","10,900"
2020,Maryland,"18,000","11,900","109,700",0,"406,600","4,100",0,0,0,"4,136,000","111,700","37,900"
2020,Massachusetts,"21,000","15,600","122,600",0,"418,900","2,100",0,0,0,"4,697,000","75,500","36,800"
2020,Michigan,"10,600","12,500","93,400",0,"1,348,900","11,200",0,0,0,"6,728,600","217,400","62,100"
2020,Minnesota,"10,400","6,700","83,800",0,"722,800","9,100",0,0,0,"4,162,400","161,700","43,000"
2020,Mississippi,800,700,"15,800",0,"381,000","5,000",0,0,0,"2,197,800","99,600","13,800"
2020,Missouri,"6,700","5,300","77,600",0,"744,100","14,000",0,0,0,"4,442,300","212,200","52,100"
2020,Montana,900,600,"11,200",0,"130,600","3,600",0,0,0,"714,000","93,100","16,400"
2020,Nebraska,"1,800","1,300","20,200",0,"262,800","7,200",0,0,0,"1,482,500","90,400","31,700"
2020,Nevada,"11,000","4,200","42,900",0,"183,700","5,100",0,0,0,"2,036,400","99,100","28,900"
2020,New Hampshire,"2,700","2,500","23,300",0,"135,900","1,200",0,0,0,"1,159,600","37,600","15,800"
2020,New Jersey,"30,400","12,800","104,600",0,"548,400","2,900",0,0,0,"6,227,300","106,700","47,000"
2020,New Mexico,"2,600","1,900","28,500",0,"197,900","6,000",0,0,0,"1,490,700","108,100","30,300"
2020,New York,"32,600","32,600","192,700",0,"1,020,500","6,200",0,0,0,"9,890,800","189,900","102,600"
2020,North Carolina,"16,200","9,300","133,400",0,"878,800","19,700",0,0,0,"7,376,600","256,300","93,400"
2020,North Dakota,200,300,"4,400",0,"135,600","3,700",0,0,0,"567,200","57,700","12,500"
2020,Ohio,"14,500","9,500","124,100",0,"1,153,500","14,100",0,0,0,"8,690,900","240,900","88,900"
2020,Oklahoma,"3,400","1,800","30,100",0,"574,100","14,800",0,0,0,"3,126,100","190,800","60,600"
2020,Oregon,"22,800","11,800","106,100",0,"222,000","10,900",0,0,0,"2,990,200","246,200","82,600"
2020,Pennsylvania,"17,500","12,800","140,800",0,"953,200","9,600",0,0,0,"8,781,500","241,000","69,500"
2020,Rhode Island,"1,600","1,600","14,100",0,"59,100",500,0,0,0,"785,400","13,300","7,500"
2020,South Carolina,"4,400","3,000","49,700",0,"515,600","12,200",0,0,0,"4,004,100","127,200","56,200"
2020,South Dakota,400,500,"7,200",0,"139,400","4,100",0,0,0,"688,400","65,500","19,500"
2020,Tennessee,"7,800","4,300","68,700",0,"638,600","16,500",0,0,0,"5,218,400","181,600","50,900"
2020,Texas,"52,200","20,400","262,300",0,"3,250,000","43,600",0,100,0,"19,609,700","1,107,000","163,600"
2020,Utah,"11,200","5,200","49,800",0,"231,700","8,700",0,0,0,"2,346,000","191,400","35,700"
2020,Vermont,"2,200","2,300","13,900",0,"58,800",500,0,0,0,"501,000","19,700","6,800"
2020,Virginia,"20,500","11,200","157,800",0,"618,500","12,200",0,0,0,"6,646,500","183,700","46,800"
2020,Washington,"50,500","18,400","211,300",0,"424,000","18,700",0,0,0,"5,687,600","326,300","95,300"
2020,West Virginia,600,700,"11,900",0,"178,200","2,800",0,0,0,"1,216,500","57,800","14,200"
